location_address_streetAddress,location_address_city,location_position_latitude,location_position_longitude,location_namedAreas_0,location_region_municipalityName,location_region_countyName,listPrice,livingArea,plotArea,source_name,source_id,source_type,source_url,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,additionalArea,rent
Stationsvägen 23,Floda,60.49130319,14.79146121,Floda,Gagnef,Dalarnas län,575000,97.0,1250.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,2.0,2021-02-19 14:07:23,1928.0,Villa,4124347,2021-03-10,920000,bid,https://www.booli.se/annons/4124347,,
Storsvevägen 21,Mockfjärd,60.509985,14.959266,Storsveden,Gagnef,Dalarnas län,995000,112.0,783.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2021-03-03 19:17:45,1991.0,Villa,4090776,2021-03-08,1320000,bid,https://www.booli.se/annons/4090776,,
Dalvägen 15,Djurås,60.55850276,15.12858429,Djurås,Gagnef,Dalarnas län,1795000,90.0,1365.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2021-02-09 12:03:04,1955.0,Villa,4037820,2021-03-05,1795000,bid,https://www.booli.se/annons/4037820,99.0,
Gräv 52,,60.615238,15.047078,Gräv,Gagnef,Dalarnas län,2795000,148.0,4575.0,Länsförsäkringar Fastighetsförmedling,64,Broker,https://www.lansfast.se/,4.0,2021-02-08 14:41:35,1890.0,Villa,4111471,2021-03-03,3300000,maklare,https://www.booli.se/annons/4111471,14.0,
Flodvägen 16,Djurås,60.55618392,15.13195044,Djurås,Gagnef,Dalarnas län,1595000,126.0,953.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2021-02-02 17:14:08,1972.0,Villa,4092596,2021-02-23,1960000,maklare,https://www.booli.se/annons/4092596,17.0,
Bygdegårdsvägen 10,Bäsna,60.536382,15.205969,Bäsna,Gagnef,Dalarnas län,3350000,179.0,2682.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2021-02-11 03:24:06,1922.0,Villa,4111020,2021-02-16,3350000,bid,https://www.booli.se/annons/4111020,0.0,
Bröttjärna 435,,60.50383956,15.02170138,Mockfjärd,Gagnef,Dalarnas län,1550000,140.0,3178.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,5.0,2020-09-24 19:43:36,1928.0,Villa,3974681,2021-01-27,1400000,bid,https://www.booli.se/annons/3974681,10.0,
K M Mattsons väg 3,Mockfjärd,60.502303,14.969634,Mockfjärd,Gagnef,Dalarnas län,1495000,99.0,713.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2021-01-05 15:04:12,1956.0,Villa,3975300,2021-01-11,1700000,bid,https://www.booli.se/annons/3975300,66.0,
Loksvedvägen 1,Sifferbo,60.55503976,15.22812454,Sifferbo,Gagnef,Dalarnas län,1100000,66.0,5300.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2020-12-28 12:19:08,1909.0,Villa,4074986,2020-12-29,1600000,maklare,https://www.booli.se/annons/4074986,30.0,
Gäddvägen 3,Djurås,60.565235,15.131312,Djurås,Gagnef,Dalarnas län,1350000,135.0,593.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2020-04-30 14:33:12,1975.0,Villa,3744983,2020-12-18,1200000,bid,https://www.booli.se/annons/3744983,0.0,
Gäddvägen 1,Djurås,60.56527952,15.13156797,Djurås,Gagnef,Dalarnas län,1750000,135.0,694.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2020-11-03 18:36:01,1975.0,Villa,4021028,2020-12-02,1900000,maklare,https://www.booli.se/annons/4021028,,
Loksvedvägen 5,Sifferbo,60.55518621,15.22648273,Sifferbo,Gagnef,Dalarnas län,2295000,112.0,1620.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2020-11-17 00:57:22,1965.0,Villa,4040382,2020-12-03,2400000,bid,https://www.booli.se/annons/4040382,105.0,
Buffervägen 29,,60.53852902,15.12100373,Djurås,Gagnef,Dalarnas län,3200000,122.0,2815.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2020-11-09 16:41:35,1978.0,Villa,4025227,2020-12-02,3400000,bid,https://www.booli.se/annons/4025227,125.0,
Storsvevägen 68,Mockfjärd,60.512644,14.961266,Mockfjärd,Gagnef,Dalarnas län,1100000,75.0,1581.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2020-11-09 12:10:05,1960.0,Villa,4018026,2020-11-18,1445000,maklare,https://www.booli.se/annons/4018026,75.0,
Fiolvägen 4,Djurås,60.557589,15.117221,Djurås,Gagnef,Dalarnas län,1995000,101.0,1029.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2020-10-16 14:10:32,1988.0,Villa,4003578,2020-11-02,1995000,bid,https://www.booli.se/annons/4003578,30.0,
Lillsvängen 4,,60.53451626,15.13441349,Djurås,Gagnef,Dalarnas län,1950000,103.0,1061.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2020-09-30 20:25:26,1990.0,Villa,3902656,2020-10-21,2050000,maklare,https://www.booli.se/annons/3902656,,
Nordanbyvägen 17,Mockfjärd,60.50647566,14.96216516,Nordanbyn,Gagnef,Dalarnas län,1100000,152.0,1228.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2020-08-19 18:01:00,1968.0,Villa,3925032,2020-10-19,1100000,maklare,https://www.booli.se/annons/3925032,108.0,
Älvnäs 23,Gagnef,60.58675,15.06523,Nordbäck,Gagnef,Dalarnas län,850000,113.0,,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2020-09-28 10:35:32,1990.0,Villa,3978896,2020-10-16,1150000,maklare,https://www.booli.se/annons/3978896,0.0,4660.0
Nedre Tjärna 202,Gagnef,60.59632807,15.05372751,Gagnef,Gagnef,Dalarnas län,1995000,858.0,5320.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,18.0,2019-06-06 23:05:46,1920.0,Villa,3471805,2020-10-05,2000000,maklare,https://www.booli.se/annons/3471805,,
Gråda 23,,60.606828,15.039523,Gagnef,Gagnef,Dalarnas län,1795000,80.0,1452.0,Länsförsäkringar Fastighetsförmedling,64,Broker,https://www.lansfast.se/,3.0,2020-09-16 16:37:40,1960.0,Villa,3963448,2020-10-06,2200000,maklare,https://www.booli.se/annons/3963448,51.0,
Sikvägen 2,Djurås,60.56360617,15.13314436,Djurås,Gagnef,Dalarnas län,1600000,135.0,856.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2020-09-02 19:28:13,1975.0,Villa,3569304,2020-09-24,1600000,maklare,https://www.booli.se/annons/3569304,,
Ohlsvegattu 20,,60.53266,15.131836,Djurås,Gagnef,Dalarnas län,1800000,125.0,4910.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2020-08-06 19:34:19,1920.0,Villa,3912249,2020-08-21,2200000,bid,https://www.booli.se/annons/3912249,53.0,
